name,code,offers
Italy,ITA,19
United Kingdom,GBR,48
Germany,DEU,154
Spain,ESP,14
Portugal,PRT,10
France,FRA,58
Netherlands,NLD,33
Ireland,IRL,8
Switzerland,CHE,27
Denmark,DNK,7
Belgium,BEL,9
Austria,AUT,2
Luxembourg,LUX,70
