name,code,offers
Milano,ITA,41
Regno Unito,GBR,416
Germania,DEU,56
Spagna,ESP,20
Portogallo,PRT,10
Francia,FRA,79
Paesi Bassi,NLD,10
Irlanda,IRL,2
Svizzera,CHE,13
Danimarca,DNK,9
Belgio,BEL,16
Austria,AUT,5
Paesi Bassi,LUX,1
