name,code,offers
Italy,ITA,104
United Kingdom,GBR,1000
Germany,DEU,501
Spain,ESP,51
Portugal,PRT,41
France,FRA,262
Netherlands,NLD,23
Ireland,IRL,14
Switzerland,CHE,37
Denmark,DNK,29
Belgium,BEL,41
Austria,AUT,18
Luxembourg,LUX,17
