name,code,offers
Italy,ITA,19
United Kingdom,GBR,52
Germany,DEU,123
Spain,ESP,14
Portugal,PRT,10
France,FRA,65
Netherlands,NLD,27
Ireland,IRL,8
Switzerland,CHE,28
Denmark,DNK,7
Belgium,BEL,9
Austria,AUT,2
Luxembourg,LUX,70
