name,code,offers
Italy,ITA,54
United Kingdom,GBR,316
Germany,DEU,516
Spain,ESP,62
Portugal,PRT,26
France,FRA,172
Netherlands,NLD,182
Ireland,IRL,10
Greater Zurich Area,CHE,147
Denmark,DNK,59
Belgium,BEL,55
Austria,AUT,61
Luxembourg,LUX,59
