name,code,offers
Italy,ITA,44
United Kingdom,GBR,408
Germany,DEU,40
Spain,ESP,16
Portugal,PRT,9
France,FRA,92
Netherlands,NLD,12
Ireland,IRL,3
Switzerland,CHE,14
Denmark,DNK,10
Belgium,BEL,16
Austria,AUT,5
Luxembourg,LUX,8
