name,code,offers
Italy,ITA,168
United Kingdom,GBR,1000
Germany,DEU,863
Spain,ESP,151
Portugal,PRT,183
France,FRA,565
Netherlands,NLD,214
Ireland,IRL,86
Switzerland,CHE,151
Denmark,DNK,17
Belgium,BEL,209
Austria,AUT,63
Luxembourg,LUX,15
