name,code,offers
Italy,ITA,45
United Kingdom,GBR,431
Germany,DEU,48
Spain,ESP,16
Portugal,PRT,10
France,FRA,88
Netherlands,NLD,11
Ireland,IRL,3
Switzerland,CHE,15
Denmark,DNK,8
Belgium,BEL,16
Austria,AUT,5
Luxembourg,LUX,8
